id,treatment,task,answer,captcha,attention,age,gender,essay_seconds,comprehension,well_written,meaningful,authentic,grade,reward,competent,warm,moral,lazy,trustworthy,manipulation_check,believe_check,chatgpt_familiarity,chatgpt_used,chatgpt_frequency,chatgpt_trust
573,Full,Social,Sister,1,TikTok,34,Female,55.582,Their sister,5,4,4,C,0.2,4,2,2,6,1,They copied it word-for-word from ChatGPT,Yes,5,Yes,2,3
574,Tool,Social,Sister,1,TikTok,28,Male,8.275,Their sister,5,5,4,B,0.7,5,6,5,5,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,6,Yes,2,4
575,Full,NonSocial,Hobbit,1,TikTok,28,Male,17.661,The book 'The Hobbit',4,2,2,E,0,2,2,2,6,3,They copied it word-for-word from ChatGPT,Yes,5,Yes,2,4
576,Full,Social,Father,1,TikTok,53,Male,32.15,Their father,4,2,1,D,0.1,4,3,2,7,1,They copied it word-for-word from ChatGPT,No,5,Yes,3,1
577,Full,Social,Sister,1,TikTok,19,Female,33.983,Their sister,4,2,2,C,0.3,4,2,3,6,1,They copied it word-for-word from ChatGPT,Yes,7,Yes,4,5
578,Full,Social,Friend,1,TikTok,37,Male,25.735,Their best friend,4,3,2,D,0.01,1,1,1,7,1,They copied it word-for-word from ChatGPT,Yes,2,Yes,2,4
579,Control,Social,Friend,1,TikTok,36,Male,82.867,Their sister,3,4,3,C,0.29,5,5,4,2,2,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,3,Yes,3,5
580,Full,NonSocial,Titanic,1,TikTok,26,Male,44.219,The film 'Titanic',7,6,5,A,1,6,5,5,6,4,They copied it word-for-word from ChatGPT,No,3,Yes,2,3
581,Tool,NonSocial,Hobbit,1,TikTok,23,Male,72.567,The book 'The Hobbit',4,3,2,D,0.41,2,2,3,7,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,7,Yes,4,3
582,Control,NonSocial,Hobbit,1,TikTok,54,Female,98.638,The book 'The Hobbit',5,6,5,B,1,4,4,4,4,4,"They wrote it themselves, without any help from ChatGPT",Yes,2,No,1,4
583,Full,NonSocial,Buffy,1,TikTok,42,Female,67.483,The TV show 'Buffy the Vampire Slayer',5,5,4,C,0.31,4,4,3,6,4,They copied it word-for-word from ChatGPT,Yes,5,Yes,2,5
584,Control,NonSocial,Buffy,1,TikTok,36,Female,92.699,The TV show 'Buffy the Vampire Slayer',6,5,5,A,1,5,5,4,2,5,"They wrote it themselves, without any help from ChatGPT",No,5,Yes,2,4
585,Tool,Social,Father,1,TikTok,32,Female,36.895,Their father,6,7,6,B,0.85,6,6,6,2,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,2,Yes,2,4
586,Tool,NonSocial,Titanic,1,TikTok,61,Male,130.867,The film 'Titanic',5,4,5,C,0.53,3,3,5,6,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,3,Yes,3,5
587,Control,Social,Friend,1,TikTok,28,Male,48.562,Their best friend,7,7,5,B,0.7,6,7,6,5,5,"They wrote it themselves, without any help from ChatGPT",No,7,Yes,5,5
588,Full,Social,Sister,1,TikTok,55,Female,62.609,Their sister,7,1,1,D,0.25,1,1,1,7,1,They copied it word-for-word from ChatGPT,Yes,7,Yes,4,6
589,Control,NonSocial,Hobbit,1,TikTok,18,Male,20.774,The book 'The Hobbit',5,4,6,B,0.5,6,5,6,2,7,"They wrote it themselves, without any help from ChatGPT",Yes,6,Yes,3,5
590,Full,NonSocial,Hobbit,1,TikTok,61,Female,93.984,The book 'The Hobbit',3,6,6,C,0.5,4,3,2,5,4,They copied it word-for-word from ChatGPT,Yes,2,No,1,4
591,Tool,Social,Friend,1,TikTok,47,Female,21.231,Their best friend,6,6,6,B,0.8,6,6,6,3,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,5,Yes,3,5
592,Full,Social,Father,0.8999999761581421,TikTok,20,Male,18.061,Their father,6,5,2,D,0.25,5,6,4,3,5,They copied it word-for-word from ChatGPT,Yes,7,Yes,4,6
593,Control,NonSocial,Hobbit,1,TikTok,64,Male,78.873,The book 'The Hobbit',5,6,6,B,1,6,6,6,1,5,"They wrote it themselves, without any help from ChatGPT",Yes,2,No,1,1
594,Full,NonSocial,Buffy,1,TikTok,49,Female,100.979,The TV show 'Buffy the Vampire Slayer',7,6,5,C,0.3,2,3,4,7,2,They copied it word-for-word from ChatGPT,No,6,Yes,3,6
595,Control,NonSocial,Titanic,1,TikTok,29,Male,67.149,The film 'Titanic',7,7,7,A,1,7,7,7,1,7,"They wrote it themselves, without any help from ChatGPT",Yes,7,Yes,4,4
596,Control,NonSocial,Titanic,1,TikTok,24,Female,120.875,The film 'Titanic',4,5,5,B,0.81,7,4,4,1,5,"They wrote it themselves, without any help from ChatGPT",Yes,2,No,1,3
597,Control,Social,Friend,1,Twitter,38,Male,102.092,Their best friend,6,7,7,B,1,6,6,6,1,6,"They wrote it themselves, without any help from ChatGPT",Yes,7,Yes,4,6
598,Full,Social,Father,1,TikTok,49,Male,93.469,Their father,6,5,5,C,1,6,4,5,4,5,They copied it word-for-word from ChatGPT,Yes,5,Yes,3,5
599,Full,NonSocial,Titanic,1,TikTok,72,Female,89.027,The film 'Titanic',7,7,7,B,0.8,5,6,5,3,4,They copied it word-for-word from ChatGPT,Yes,5,Yes,3,5
600,Control,NonSocial,Hobbit,1,TikTok,34,Female,11.294,The book 'The Hobbit',7,7,7,A,1,7,7,7,1,7,"They wrote it themselves, without any help from ChatGPT",Yes,5,No,2,6
601,Full,Social,Friend,1,TikTok,25,Female,60.202,Their best friend,6,6,2,C,0.51,2,3,4,1,2,They copied it word-for-word from ChatGPT,Yes,5,Yes,3,4
602,Control,Social,Sister,1,TikTok,61,Male,90.252,Their sister,7,7,7,A,1,7,7,7,1,7,"They wrote it themselves, without any help from ChatGPT",Yes,1,No,1,4
603,Full,NonSocial,Buffy,1,TikTok,31,Female,43.782,The TV show 'Buffy the Vampire Slayer',7,5,1,B,0.15,2,4,3,7,4,They copied it word-for-word from ChatGPT,Yes,4,Yes,2,4
604,Tool,NonSocial,Hobbit,1,TikTok,81,Male,143.518,The book 'The Hobbit',5,6,6,B,0.77,5,4,3,6,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,3,No,1,5
605,Full,NonSocial,Hobbit,1,TikTok,35,Female,61.678,The book 'The Hobbit',5,5,3,C,0.3,3,3,4,5,4,They copied it word-for-word from ChatGPT,Yes,7,Yes,3,3
606,Control,NonSocial,Buffy,1,TikTok,40,Male,118.895,The TV show 'Buffy the Vampire Slayer',7,7,6,A,0.86,7,5,7,1,5,"They wrote it themselves, without any help from ChatGPT",Yes,7,Yes,5,5
607,Tool,NonSocial,Titanic,1,TikTok,74,Female,164.297,The film 'Titanic',5,5,5,C,0.61,6,4,4,4,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,1,No,1,3
608,Full,Social,Friend,1,TikTok,39,Female,31.57,Their best friend,3,3,2,D,0.09,3,2,3,7,5,They copied it word-for-word from ChatGPT,Yes,4,Yes,2,3
609,Full,Social,Father,1,TikTok,42,Male,65.659,Their father,4,1,1,E,0,4,2,1,7,1,They copied it word-for-word from ChatGPT,Yes,2,No,1,4
610,Control,NonSocial,Hobbit,1,TikTok,57,Female,74.404,The book 'The Hobbit',5,5,6,B,0.82,6,5,5,2,6,"They wrote it themselves, without any help from ChatGPT",Yes,2,No,1,2
611,Control,Social,Father,1,TikTok,22,Male,12.201,Their father,5,4,4,B,0.93,5,6,5,3,6,"They wrote it themselves, without any help from ChatGPT",Yes,5,Yes,3,4
612,Control,Social,Friend,1,TikTok,61,Female,82.463,Their best friend,5,6,5,B,1,6,6,6,2,5,"They wrote it themselves, without any help from ChatGPT",Yes,2,No,1,3
613,Tool,NonSocial,Buffy,1,TikTok,27,Male,67.298,The TV show 'Buffy the Vampire Slayer',5,3,2,C,1,3,4,2,6,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,7,Yes,5,2
614,Tool,NonSocial,Hobbit,1,TikTok,34,Female,50.963,The book 'The Hobbit',4,1,2,C,0.5,6,4,4,4,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,6,Yes,3,5
615,Tool,Social,Friend,1,TikTok,28,Female,52.27,Their best friend,6,6,5,C,0.5,4,5,4,6,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,7,Yes,3,3
616,Full,Social,Father,1,TikTok,44,Male,42.979,Their father,7,7,7,B,1,7,7,7,3,6,They copied it word-for-word from ChatGPT,Yes,7,Yes,4,5
617,Tool,NonSocial,Hobbit,1,TikTok,36,Prefer not to say,208.876,The book 'The Hobbit',4,4,3,C,0.5,4,4,4,4,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,7,Yes,5,4
618,Full,Social,Friend,1,TikTok,50,Male,46.668,Their best friend,5,5,5,C,1,4,4,4,3,3,They copied it word-for-word from ChatGPT,Yes,5,Yes,3,4
619,Full,NonSocial,Buffy,1,TikTok,51,Male,75.454,The TV show 'Buffy the Vampire Slayer',5,4,4,B,0.2,2,2,2,6,2,They copied it word-for-word from ChatGPT,No,6,Yes,4,5
620,Full,Social,Sister,1,TikTok,27,Female,126.006,Their sister,5,2,1,E,0.08,4,4,4,5,5,They copied it word-for-word from ChatGPT,Yes,6,Yes,2,2
621,Tool,Social,Friend,1,TikTok,31,Female,49.294,Their best friend,7,7,6,A,1,6,6,6,1,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,2,No,1,4
622,Control,NonSocial,Titanic,1,TikTok,71,Male,80.402,The film 'Titanic',7,7,7,A,1,7,6,7,1,6,"They wrote it themselves, without any help from ChatGPT",Yes,1,No,1,2
623,Full,Social,Friend,1,TikTok,44,Male,36.286,Their best friend,7,7,1,E,0,1,7,1,7,1,They copied it word-for-word from ChatGPT,Yes,7,Yes,4,1
624,Full,NonSocial,Hobbit,1,TikTok,57,Female,80.394,The book 'The Hobbit',4,3,2,E,0.1,2,2,2,6,2,They copied it word-for-word from ChatGPT,No,4,No,1,3
625,Control,NonSocial,Titanic,1,TikTok,44,Male,61.115,The film 'Titanic',6,4,5,B,0.8,6,6,5,3,5,"They wrote it themselves, without any help from ChatGPT",No,3,No,1,3
626,Control,NonSocial,Buffy,1,TikTok,35,Female,83.3,The TV show 'Buffy the Vampire Slayer',5,5,3,C,1,5,6,4,4,3,"They wrote it themselves, without any help from ChatGPT",No,6,Yes,5,5
627,Tool,Social,Friend,1,TikTok,20,Female,48.283,Their best friend,5,6,6,C,0.5,5,6,5,3,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,6,Yes,3,5
628,Full,NonSocial,Titanic,1,TikTok,37,Female,81.382,The film 'Titanic',4,1,1,D,0.2,1,1,4,7,3,They copied it word-for-word from ChatGPT,Yes,4,Yes,3,5
629,Control,NonSocial,Buffy,1,YouTube,43,Male,68.121,The TV show 'Buffy the Vampire Slayer',6,6,5,C,0.2,4,5,3,2,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,5,Yes,5,4
630,Full,Social,Friend,1,TikTok,31,Male,45.025,Their best friend,5,6,6,B,0.7,4,3,4,6,4,They copied it word-for-word from ChatGPT,Yes,5,Yes,3,2
631,Tool,Social,Sister,1,TikTok,56,Male,50.624,Their sister,5,4,4,C,0.4,3,2,2,2,2,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,5,Yes,3,2
632,Full,Social,Sister,1,TikTok,19,Male,51.6,Their sister,6,6,1,C,0.31,4,7,2,7,7,They copied it word-for-word from ChatGPT,Yes,4,Yes,4,4
633,Tool,NonSocial,Hobbit,1,TikTok,57,Female,139.864,The book 'The Hobbit',3,4,3,D,0.5,5,3,3,6,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,5,Yes,3,3
634,Control,NonSocial,Titanic,1,TikTok,32,Male,29.435,The film 'Titanic',6,5,6,A,1,7,6,6,1,5,"They wrote it themselves, without any help from ChatGPT",No,4,Yes,2,2
635,Full,Social,Sister,1,TikTok,58,Male,94.217,Their sister,5,4,1,D,0.01,4,3,4,1,2,They copied it word-for-word from ChatGPT,Yes,1,No,1,4
636,Control,NonSocial,Titanic,1,TikTok,40,Male,56.156,The film 'Titanic',7,7,7,A,1,7,7,7,1,7,"They wrote it themselves, without any help from ChatGPT",Yes,7,Yes,5,7
637,Control,Social,Friend,1,TikTok,28,Female,26.228,Their best friend,5,6,6,B,0.75,5,7,6,2,6,"They wrote it themselves, without any help from ChatGPT",Yes,5,Yes,2,3
638,Control,Social,Father,1,TikTok,56,Female,57.408,Their father,6,7,7,A,1,7,7,7,1,6,"They wrote it themselves, without any help from ChatGPT",Yes,5,Yes,2,5
639,Control,NonSocial,Hobbit,1,TikTok,27,Male,41.654,The book 'The Hobbit',6,5,3,C,0.5,4,3,5,4,4,"They wrote it themselves, without any help from ChatGPT",No,5,Yes,2,4
640,Control,NonSocial,Titanic,1,TikTok,58,Male,72.899,The film 'Titanic',6,7,6,B,0.85,6,5,6,1,5,"They wrote it themselves, without any help from ChatGPT",Yes,4,Yes,2,3
641,Tool,NonSocial,Titanic,1,TikTok,37,Male,95.065,The film 'Titanic',6,5,5,B,0.91,6,5,6,1,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,7,Yes,5,7
642,Control,NonSocial,Hobbit,1,TikTok,42,Male,40.468,The book 'The Hobbit',5,5,7,B,0.82,5,5,4,2,6,"They wrote it themselves, without any help from ChatGPT",Yes,6,Yes,3,5
643,Full,Social,Friend,1,TikTok,69,Female,48.636,Their best friend,6,6,6,B,0.8,1,1,1,7,1,They copied it word-for-word from ChatGPT,Yes,2,No,1,5
644,Full,Social,Sister,1,TikTok,47,Female,60.368,Their sister,6,5,5,D,0.2,4,4,3,6,4,They copied it word-for-word from ChatGPT,Yes,2,No,1,5
645,Full,Social,Friend,1,TikTok,42,Female,78.411,Their best friend,5,5,1,E,0,1,1,1,7,1,They copied it word-for-word from ChatGPT,Yes,2,Yes,2,5
646,Full,Social,Friend,1,TikTok,35,Female,33.599,Their best friend,4,1,1,D,0.15,4,3,3,5,3,They copied it word-for-word from ChatGPT,Yes,7,Yes,3,4
647,Full,NonSocial,Buffy,1,TikTok,21,Male,341.395,The TV show 'Buffy the Vampire Slayer',6,5,1,D,0.2,2,3,2,7,1,They copied it word-for-word from ChatGPT,Yes,7,Yes,5,4
648,Tool,Social,Sister,1,TikTok,50,Female,63.55,Their sister,6,6,5,B,0.7,4,5,5,5,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,3,Yes,2,4
649,Control,NonSocial,Buffy,1,TikTok,35,Male,38.1,The TV show 'Buffy the Vampire Slayer',7,7,7,A,0.98,7,6,6,2,6,"They wrote it themselves, without any help from ChatGPT",Yes,2,No,1,3
650,Tool,NonSocial,Titanic,1,TikTok,62,Female,108.315,The film 'Titanic',5,5,4,C,0.5,5,4,6,5,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,6,Yes,2,4
651,Full,NonSocial,Buffy,1,TikTok,58,Male,113.818,The TV show 'Buffy the Vampire Slayer',6,5,6,A,1,4,4,2,6,4,They copied it word-for-word from ChatGPT,Yes,4,No,1,4
652,Control,NonSocial,Hobbit,1,TikTok,34,Male,98.614,The book 'The Hobbit',3,4,4,C,0.6,3,3,4,5,4,"They wrote it themselves, without any help from ChatGPT",No,7,Yes,5,5
653,Full,NonSocial,Buffy,1,TikTok,26,Male,34.031,The TV show 'Buffy the Vampire Slayer',6,5,3,D,0.2,2,4,2,5,3,They copied it word-for-word from ChatGPT,Yes,6,Yes,4,5
654,Control,Social,Father,1,TikTok,28,Male,55.075,Their father,5,6,6,B,0.8,6,6,6,1,5,"They wrote it themselves, without any help from ChatGPT",Yes,6,Yes,3,5
655,Full,NonSocial,Titanic,1,TV,44,Male,48.682,The film 'Titanic',7,4,1,E,0,1,1,1,7,1,They copied it word-for-word from ChatGPT,Yes,6,Yes,3,7
656,Tool,NonSocial,Titanic,1,TikTok,29,Female,101.107,The film 'Titanic',5,3,5,C,0.3,5,5,4,3,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,6,Yes,3,5
657,Control,Social,Father,1,TikTok,65,Male,58.258,Their father,6,6,6,B,0.91,7,7,6,1,7,"They wrote it themselves, without any help from ChatGPT",Yes,2,No,1,4
658,Tool,NonSocial,Buffy,1,TikTok,19,Male,20.916,The TV show 'Buffy the Vampire Slayer',5,4,4,B,1,5,4,4,6,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,6,Yes,4,4
659,Full,NonSocial,Hobbit,1,TikTok,57,Female,58.118,The book 'The Hobbit',6,6,7,B,0.85,2,3,1,7,7,They copied it word-for-word from ChatGPT,No,1,No,1,2
660,Full,Social,Friend,1,TikTok,36,Female,48.291,Their best friend,6,1,1,D,0.2,2,2,3,7,3,They copied it word-for-word from ChatGPT,Yes,5,Yes,2,6
661,Full,Social,Father,1,TikTok,24,Male,143.387,Their father,6,5,3,C,0.1,3,3,1,7,1,They copied it word-for-word from ChatGPT,Yes,1,No,1,1
662,Full,Social,Father,1,TikTok,63,Male,59.263,Their father,5,6,5,C,0.2,5,6,4,2,5,They copied it word-for-word from ChatGPT,No,4,Yes,2,5
663,Tool,Social,Father,1,TikTok,24,Female,26.285,Their father,7,6,4,C,0.5,5,6,4,4,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,7,Yes,5,6
664,Full,Social,Sister,1,TikTok,25,Male,46.612,Their sister,4,5,1,E,0,1,3,1,1,1,They copied it word-for-word from ChatGPT,Yes,6,Yes,5,6
665,Control,NonSocial,Buffy,1,TikTok,47,Male,79.482,The TV show 'Buffy the Vampire Slayer',6,5,2,B,0.5,4,2,2,6,2,"They wrote it themselves, without any help from ChatGPT",No,5,Yes,3,5
666,Tool,Social,Father,1,TikTok,24,Female,30.214,Their father,5,5,5,C,0.5,5,3,4,2,3,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,5,Yes,3,5
667,Control,NonSocial,Hobbit,0.800000011920929,TikTok,32,Male,209.434,The book 'The Hobbit',5,5,4,C,0.6,6,4,6,2,5,"They wrote it themselves, without any help from ChatGPT",Yes,6,Yes,3,6
668,Full,NonSocial,Hobbit,1,TikTok,20,Male,6.778,The book 'The Hobbit',4,4,7,A,0.69,6,5,6,3,5,They copied it word-for-word from ChatGPT,No,7,Yes,5,4
669,Full,NonSocial,Buffy,1,TikTok,70,Male,122.077,The TV show 'Buffy the Vampire Slayer',6,6,6,B,0.82,5,4,4,3,3,They copied it word-for-word from ChatGPT,No,6,Yes,4,5
670,Tool,Social,Father,1,TikTok,35,Female,69.388,Their father,7,5,4,B,0.61,5,5,6,3,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,6,Yes,2,6
671,Full,Social,Sister,0.8999999761581421,TikTok,67,Female,134.242,Their sister,5,5,4,E,0.5,3,3,3,6,5,They copied it word-for-word from ChatGPT,Yes,3,No,1,4
672,Full,NonSocial,Buffy,1,TikTok,44,Female,107.512,The TV show 'Buffy the Vampire Slayer',5,2,5,B,0.1,2,5,1,7,3,They copied it word-for-word from ChatGPT,Yes,5,No,1,5
673,Tool,NonSocial,Buffy,1,TikTok,33,Male,32.956,The TV show 'Buffy the Vampire Slayer',5,4,3,B,0.5,5,4,4,6,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,7,Yes,4,5
674,Full,NonSocial,Buffy,1,TikTok,52,Female,58.668,The TV show 'Buffy the Vampire Slayer',5,5,3,D,0.4,1,2,1,6,1,They copied it word-for-word from ChatGPT,Yes,6,Yes,3,4
675,Full,NonSocial,Buffy,1,TikTok,26,Female,10.833,The TV show 'Buffy the Vampire Slayer',1,1,1,E,0,1,4,1,7,1,They copied it word-for-word from ChatGPT,No,7,Yes,3,4
676,Control,NonSocial,Hobbit,1,TikTok,28,Male,76.922,The book 'The Hobbit',6,6,7,A,1,7,4,4,4,4,"They wrote it themselves, without any help from ChatGPT",Yes,7,Yes,4,4
677,Control,NonSocial,Titanic,1,TikTok,36,Female,33.694,The film 'Titanic',5,5,6,B,0.77,5,5,6,2,5,"They wrote it themselves, without any help from ChatGPT",No,6,Yes,4,5
678,Tool,NonSocial,Hobbit,1,TikTok,41,Male,111.726,The book 'The Hobbit',5,5,6,C,0.5,5,4,5,3,3,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,4,Yes,2,4
679,Full,NonSocial,Hobbit,1,TikTok,55,Male,105.451,The book 'The Hobbit',6,5,6,B,0.8,4,5,4,6,6,They copied it word-for-word from ChatGPT,Yes,6,Yes,2,4
680,Control,Social,Friend,1,TikTok,22,Male,102.837,Their best friend,5,4,5,A,1,7,7,7,3,4,"They wrote it themselves, without any help from ChatGPT",Yes,4,No,1,4
681,Tool,NonSocial,Buffy,1,TikTok,39,Male,411.143,The TV show 'Buffy the Vampire Slayer',7,6,6,B,1,6,5,5,2,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,6,Yes,3,4
682,Full,Social,Sister,1,TikTok,68,Male,61.872,Their sister,5,6,6,C,0.3,3,4,2,7,3,They copied it word-for-word from ChatGPT,Yes,4,Yes,3,6
683,Tool,NonSocial,Buffy,1,TikTok,22,Female,39.94,The TV show 'Buffy the Vampire Slayer',7,6,4,B,0.1,4,4,3,5,3,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,7,Yes,5,7
684,Control,Social,Father,1,TikTok,44,Female,83.275,Their father,7,7,7,A,1,7,7,7,1,7,"They wrote it themselves, without any help from ChatGPT",Yes,1,No,1,4
685,Tool,Social,Father,1,TikTok,26,Female,12.636,Their father,3,2,3,D,0.18,4,2,3,3,2,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,5,Yes,3,4
686,Tool,Social,Father,0.8999999761581421,TikTok,61,Male,92.028,Their father,5,4,4,C,0.5,5,4,4,3,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,2,Yes,2,4
687,Tool,Social,Friend,1,TikTok,31,Male,5.311,NA,1,1,1,D,0.2,1,1,4,7,2,They copied it word-for-word from ChatGPT,Yes,7,Yes,4,4
688,Full,Social,Father,1,TikTok,45,Male,70.499,Their father,6,3,2,D,0.2,5,4,2,6,3,They copied it word-for-word from ChatGPT,Yes,7,Yes,5,4
689,Control,NonSocial,Buffy,1,TikTok,29,Female,136.464,The TV show 'Buffy the Vampire Slayer',6,5,5,B,0.07,4,4,6,5,6,"They wrote it themselves, without any help from ChatGPT",Yes,5,Yes,3,4
690,Tool,NonSocial,Titanic,1,TikTok,62,Male,82.79,The film 'Titanic',6,7,6,B,0.8,7,6,6,5,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,1,No,1,4
691,Tool,Social,Father,1,TikTok,65,Female,95.553,Their father,6,7,6,B,0.8,6,6,6,2,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,1,No,1,2
692,Tool,Social,Friend,1,TikTok,38,Female,76.832,Their best friend,5,5,5,B,0.5,3,5,4,6,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,1,No,1,1
693,Tool,Social,Sister,1,TikTok,41,Female,49.567,Their sister,5,6,5,C,0.5,5,6,5,1,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,1,No,1,1
694,Control,Social,Friend,1,TikTok,24,Non-binary / third gender,25.822,Their best friend,5,6,4,B,0.7,7,5,6,1,4,"They wrote it themselves, without any help from ChatGPT",No,6,Yes,3,3
695,Tool,Social,Father,1,TikTok,36,Female,91.53,Their father,6,6,6,B,0.8,5,5,6,5,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,5,No,1,4
696,Full,Social,Friend,1,TikTok,61,Female,41.746,Their best friend,6,5,3,C,0.5,4,4,2,6,3,They copied it word-for-word from ChatGPT,Yes,5,No,2,4
697,Tool,Social,Sister,1,TikTok,43,Male,77.836,Their sister,7,7,7,B,1,7,7,7,1,7,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,7,Yes,5,7
698,Tool,NonSocial,Hobbit,1,TV,64,Female,99.29,The book 'The Hobbit',5,2,4,C,1,5,5,4,2,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,1,No,1,2
699,Control,NonSocial,Buffy,1,TikTok,41,Male,50.001,The TV show 'Buffy the Vampire Slayer',5,5,5,D,0.6,5,4,4,5,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,6,Yes,3,3
700,Control,NonSocial,Buffy,1,TikTok,30,Male,39.398,The TV show 'Buffy the Vampire Slayer',7,6,6,A,1,7,6,6,1,6,"They wrote it themselves, without any help from ChatGPT",No,2,No,1,3
701,Tool,Social,Father,1,TikTok,36,Female,192.683,Their father,5,5,5,C,0.5,5,4,4,6,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,4,No,1,4
702,Tool,Social,Sister,1,TikTok,40,Male,82.92,Their sister,5,7,6,B,0.7,6,7,7,2,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,5,No,1,7
703,Full,Social,Friend,1,TikTok,49,Male,81.725,Their best friend,5,6,6,E,0.1,2,4,1,7,2,They copied it word-for-word from ChatGPT,No,4,No,1,3
704,Control,Social,Friend,1,TikTok,41,Male,66.301,Their best friend,6,4,4,B,1,1,1,1,1,1,"They wrote it themselves, without any help from ChatGPT",No,4,Yes,4,4
705,Tool,Social,Friend,1,TikTok,64,Male,78.688,Their best friend,7,7,4,A,1,4,4,4,4,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,6,Yes,3,5
706,Control,NonSocial,Titanic,1,TikTok,63,Male,63.586,The film 'Titanic',7,7,1,E,0,1,1,1,1,1,"They wrote it themselves, without any help from ChatGPT",No,5,Yes,5,5
707,Control,Social,Sister,1,TikTok,29,Male,34.661,Their sister,7,6,6,B,1,6,6,6,1,7,"They wrote it themselves, without any help from ChatGPT",Yes,7,Yes,5,7
708,Tool,NonSocial,Hobbit,1,TikTok,30,Female,42.914,The book 'The Hobbit',4,4,4,B,0.75,5,3,4,4,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,5,Yes,2,4
709,Control,Social,Father,1,TikTok,77,Female,91.401,Their father,6,7,7,A,1,6,7,7,1,7,"They wrote it themselves, without any help from ChatGPT",Yes,3,No,1,6
710,Control,Social,Sister,1,TikTok,44,Female,129,Their sister,7,7,7,A,0.51,7,5,6,2,5,"They wrote it themselves, without any help from ChatGPT",Yes,4,Yes,2,2
711,Full,NonSocial,Buffy,1,TikTok,41,Female,112.775,The TV show 'Buffy the Vampire Slayer',7,3,3,E,0.01,1,2,1,7,1,They copied it word-for-word from ChatGPT,Yes,2,Yes,2,6
712,Full,Social,Father,1,TikTok,48,Male,27.406,Their father,6,5,5,B,0.5,1,2,1,7,2,They copied it word-for-word from ChatGPT,Yes,5,Yes,2,4
713,Control,Social,Friend,1,TikTok,43,Male,61.383,Their best friend,6,6,6,B,0.5,6,6,7,1,6,"They wrote it themselves, without any help from ChatGPT",Yes,3,No,1,4
714,Tool,NonSocial,Titanic,1,TikTok,39,Female,75.215,The film 'Titanic',6,6,3,B,0.57,5,5,3,3,3,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,6,Yes,4,5
715,Full,NonSocial,Buffy,1,TikTok,28,Male,55.727,The TV show 'Buffy the Vampire Slayer',6,4,3,B,0.2,2,3,3,5,3,They copied it word-for-word from ChatGPT,Yes,7,Yes,3,5
716,Tool,NonSocial,Titanic,1,TikTok,44,Female,23.683,The film 'Titanic',5,5,4,B,0.86,7,5,5,2,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,4,Yes,2,4
